"","Mean","Median","Variance"
"g497",0,0,0
"g498",0,0,0
"g499",803.92226,538.87,553900.579989435
"g500",161.89316,22.421,143125.875494748
"g501",42.71836,1.847,12437.9267349435
"g502",0.00056,0,1.0892401586278e-05
"g503",0,0,0
"g504",1.24078,0,11.2691107510375
"g505",225.92962,35.444,81263.7938796775
"g506",0,0,0
"g507",243.18428,55.6195,275919.645261256
"g508",575.6402,371.4335,509624.434225452
"g509",0,0,0
"g510",36.66322,0,14820.7688849099
"g511",38.23986,0,9471.46258655732
"g512",0,0,0
"g513",4530.58168,3201.3335,24882808.3565146
"g514",0,0,0
"g515",582.75616,353.4895,562966.023335115
"g516",0.15808,0,0.811551856167589
"g517",2923.9016,2205.9885,5192178.9163637
"g518",20.79008,0,2905.47260813978
"g519",398.27906,16.7485,522235.355006238
"g520",33.6364,0,8427.47778995674
"g521",0,0,0
"g522",482.31958,3.453,8184308.61547949
"g523",134.38508,0.266,92679.4273807982
"g524",0.8729,0,1.76780447832854
"g525",0.10434,0,0.128076346286352
"g526",156.9368,0,581660.129765092
"g527",0,0,0
"g528",244.43548,86.384,164563.259622534
"g529",0.03704,0,0.0468904450075835
"g530",0,0,0
"g531",0.04112,0,0.0596000090890674
"g532",13.6236,0,8316.07891826595
"g533",0.60266,0,3.84425389078128
"g534",879.23812,350.9535,1004853.03352456
"g535",57.96102,5.835,25598.4016932292
"g536",0,0,0
"g537",11.53052,0,708.79752102649
"g538",0,0,0
"g539",8.89606,0,1054.02361639137
"g540",743.09862,438.5315,923679.858966036
"g541",131.26266,2.2825,78264.3360886727
"g542",1505.86338,1044.802,2379668.15696566
"g543",0,0,0
"g544",2.67542,0,129.527785857083
"g545",0.03796,0,0.0289646252534995
"g546",0,0,0
"g547",60.75982,25.135,3491.97054611865
"g548",108.61228,0,54645.1633473826
"g549",136.30034,113.8755,8788.47004224301
"g550",344.47772,156.6055,198011.670091711
"g551",107.98884,0,81106.7287626114
"g552",35.09746,0,12152.4174977661
"g553",24.95176,0,5221.2326326437
"g554",0,0,0
"g555",153.45296,34.6675,58204.5515061069
"g556",25.70704,0,5254.06690915995
"g557",25.37736,0,26311.9928159835
"g558",952.16328,678.7825,3793345.37502503
"g559",172.59758,2.719,71764.182268324
"g560",1908.05646,1278.8,6363236.50039993
"g561",9.63608,0,2337.05412874088
"g562",0,0,0
"g563",25.34184,6.111,2760.98324395313
"g564",144.66592,23.1305,44095.9770496763
"g565",0,0,0
"g566",291.59824,50.155,227559.633988076
"g567",1425.51358,893.8215,5915839.69189641
"g568",30.95028,0,10322.0885013271
"g569",1.98386,0,85.3898827860501
"g570",32.37704,18.113,3498.22146698626
"g571",21.34438,0.8415,13587.2466011149
"g572",0,0,0
"g573",668.62574,463.078,532805.758456617
"g574",190.18522,1.162,373462.590030111
"g575",17.4286,0,6219.21556986636
"g576",153.93872,0,1245901.17250563
"g577",1466.99422,1358.9585,876445.513920239
"g578",4070.24548,889.72,47550900.9530179
"g579",0.10608,0,0.509970908119025
"g580",0.0115,0,0.00625064412901183
"g581",0,0,0
"g582",1.52726,0,58.3854390367979
"g583",148.62652,26.2365,555901.730677057
"g584",89.48094,0,165896.626296116
"g585",1.83464,0,76.1168452448715
"g586",33.39576,0,6836.39837781381
"g587",0,0,0
"g588",104.98628,0,41183.5299234799
"g589",25.35874,3.968,2306.00658125131
"g590",0,0,0
"g591",388.6286,34.397,306480.9241901
"g592",74.52752,0,87614.7635071829
"g593",0,0,0
"g594",48.91332,0,47783.2719903089
"g595",517.8907,423.5785,204032.729814975
"g596",0.0115,0,0.00625064412901183
"g597",0,0,0
"g598",83.70346,30.711,37580.3972654629
"g599",12.71332,0,2897.82578476176
"g600",604.6436,392.3355,278839.434519469
"g601",250.41324,39.004,464233.037547271
"g602",214.92098,4.416,134082.463260142
"g603",6.17858,3.729,80.3525671332541
"g604",2147.65626,1910.498,2031584.88059065
"g605",254.52134,38.7525,150448.154789223
"g606",118.24014,0.9005,373250.212867587
"g607",1.40872,0,8.60429579676422
"g608",31.04658,0,4587.87432891683
"g609",1385.45364,1286.617,678940.293751546
"g610",0,0,0
"g611",2.76568,0,279.989310007647
"g612",6.52506,0,943.53486892525
"g613",0,0,0
"g614",0,0,0
"g615",0,0,0
"g616",385.12372,89.403,533781.299053165
"g617",0.05414,0,0.0878813456748695
"g618",0,0,0
"g619",4.38436,0,421.408793247546
"g620",0.06766,0,0.152901908861018
"g621",0,0,0
"g622",12.71378,0,3307.75038320444
"g623",0,0,0
"g624",177.95926,0,1769849.61935728
"g625",1766.06832,1237.146,2135062.07531407
"g626",1.58952,0,93.1352902528042
"g627",0,0,0
"g628",545.90986,281.682,586386.403755594
"g629",15.28982,1.0805,2642.56803686374
"g630",777.57074,323.0705,1344261.5020248
"g631",182.36984,37.697,69612.9258748492
"g632",207.04942,1.141,689114.128123319
"g633",0,0,0
"g634",0,0,0
"g635",0.08458,0,0.348291838636379
"g636",94.46812,3.7695,30471.3905991306
"g637",177.42432,3.6945,251545.697149566
"g638",58.30998,7.408,60945.8089213236
"g639",0,0,0
"g640",1.0935,0,21.7918916344728
"g641",11.92196,0,3618.73034799188
"g642",428.8241,115.0535,206611.018128632
"g643",0,0,0
"g644",1495.82522,1412.109,661367.400011805
"g645",0,0,0
"g646",0,0,0
"g647",66.8537,0,103743.749694673
"g648",34.26988,0,27219.2056825802
"g649",85.48086,4.5405,83957.8462962347
"g650",0,0,0
"g651",0,0,0
"g652",20.31046,2.1615,1794.4449611367
"g653",0,0,0
"g654",0,0,0
"g655",0,0,0
"g656",367.57558,116.685,313988.529741668
"g657",7.02156,0,930.836007349994
"g658",871.57748,488.261,2767835.68196562
"g659",139.54836,37.6235,46441.2653450643
"g660",1.30594,0,21.0946891154579
"g661",800.64242,776.745,218840.051827017
"g662",144.89728,23.848,66797.8086689375
"g663",563.60806,422.466,343975.491265678
"g664",49.7921,0,11192.1056193634
"g665",9.96272,6.8345,165.709638872553
"g666",111.76986,11.824,281144.67030625
"g667",4.37522,0,162.309184923116
"g668",174.38968,9.1315,202241.049863943
"g669",0.27478,0,0.998276059882475
"g670",0,0,0
"g671",58.07274,0,36811.8531576838
"g672",108.89654,6.0025,166627.000087921
"g673",22.63422,0,6015.36652951331
"g674",36.33876,1.5605,9659.1624567029
"g675",0.19756,0,2.9399576908784
"g676",55.83832,11.5715,9730.92458323609
"g677",23.91224,0,6295.91726175744
"g678",0.02256,0,0.0169991462768641
"g679",391.58114,161.3095,388797.721457688
"g680",9.4483,0.9225,1114.24928901605
"g681",416.9777,120.771,334880.4579583
"g682",3.60388,0,188.261183022536
"g683",1369.26474,1145.208,762552.631391496
"g684",30.76744,0,14353.4239487964
"g685",375.55282,316.484,162817.805714187
"g686",0,0,0
"g687",608.1072,279.1035,1787297.24254559
"g688",0,0,0
"g689",0,0,0
"g690",0,0,0
"g691",533.3689,176.4215,923093.048725247
"g692",155.25776,1.7795,157050.108514332
"g693",0,0,0
"g694",0.02852,0,0.0277997852278783
"g695",0.00308,0,0.000703493266285232
"g696",0,0,0
"g697",282.11326,111.5885,320178.83553745
"g698",746.40984,449.754,910419.350939608
"g699",26.92388,2.848,6698.79382016885
"g700",0,0,0
"g701",2.06086,0,57.8205949945537
"g702",110.48664,21.5005,35670.6558011289
"g703",151.03216,75.4765,36664.4898011051
"g704",9.8156,0,2666.48857445215
"g705",0,0,0
"g706",3.76524,0,228.752470965802
"g707",276.60556,32.14,406988.05402822
"g708",5891.5591,4835.196,18383049.1731979
"g709",458.2575,318.467,221307.001558853
"g710",94.92498,5.0185,26192.7666834499
"g711",0,0,0
"g712",138.33156,18.918,65102.0962441124
"g713",9.9812,6.9815,194.200488725317
"g714",19.15526,9.712,1359.49679631453
"g715",60.89302,8.811,50142.754045952
"g716",0,0,0
"g717",3.05222,1.626,30.0466594715185
"g718",8.8632,0,1219.63191424146
"g719",0.03582,0,0.0515607602012944
"g720",0.03982,0,0.0499268733764667
"g721",226.8874,9.751,290117.721436408
"g722",0,0,0
"g723",0.15788,0,1.00303643913633
"g724",84.52066,0,47133.5890593771
"g725",390.59038,310.433,132537.348567239
"g726",0,0,0
"g727",0,0,0
"g728",25.57658,0,19906.2754287221
"g729",52.20102,2.726,8490.20619142231
"g730",841.52736,334.6735,3797206.27344841
"g731",55.35538,4.187,34733.3823410856
"g732",542.42198,471.9155,110541.938669653
"g733",234.48364,63.2265,139947.011057938
"g734",0,0,0
"g735",6.92026,0,501.547813119636
"g736",0,0,0
"g737",55.59386,1.6325,39200.2396055482
"g738",0,0,0
"g739",18.91504,0,5804.94504712813
"g740",212.08676,26.7995,205739.098637718
"g741",5.68316,0,931.783232225457
"g742",52.70712,0,15283.2741983722
"g743",0,0,0
"g744",16.8693,0,2100.57721079752
"g745",17.04352,0,2411.45091866067
"g746",212.07082,2.3755,304046.853846079
"g747",13.43518,5.8505,426.667119093686
"g748",57.27952,0.869,46778.9901269179
"g749",519.52188,278.5965,298910.419577917
"g750",5.70472,1.284,362.727656442633
"g751",12.10292,8.764,315.165340330391
"g752",500.72202,63.37,1791039.08424046
"g753",0.64048,0,5.41107613211238
"g754",10.67698,0,2013.96929246857
"g755",0,0,0
"g756",6.21474,0,1491.98489887356
"g757",21.85512,1.7855,2796.91859753344
"g758",43.09422,2.2025,4870.90494923719
"g759",0,0,0
"g760",373.71642,275.169,141890.902969032
"g761",0.49304,0,11.3222500388534
"g762",95.50634,25.2655,40331.342300652
"g763",7.9614,0,564.786770791375
"g764",11.56994,9.042,102.820867034668
"g765",285.89032,60.2785,98407.4860797466
"g766",151.35154,14.6675,107227.098798581
"g767",9.82252,0,817.557990906159
"g768",0.0115,0,0.00625064412901183
"g769",69.8881,2.5365,41858.4497236036
"g770",32.47894,20.5865,2637.23953289854
"g771",1894.88842,1323.996,3736553.76769762
"g772",265.53146,50.442,210846.517405465
"g773",0,0,0
"g774",447.18974,96.128,1316743.73047875
"g775",57.21046,3.757,24086.0054667487
"g776",392.30892,102.977,347481.508288777
"g777",37.24274,0,18323.656617925
"g778",186.56314,67.004,157015.890117973
"g779",9.4234,6.9345,228.276482099067
"g780",192.72306,5.026,104940.284642118
"g781",0.01732,0,0.0134708636398086
"g782",138.96826,49.366,32753.2279188084
"g783",447.92372,339.5645,354732.774318213
"g784",24.4709,0,18596.4486903903
"g785",12.74516,0,1622.93771517872
"g786",48.55334,3.2365,12444.6454407343
"g787",711.79858,180.736,1556201.30577237
"g788",9343.56632,8449.344,22438864.35866
"g789",0,0,0
"g790",313.18926,75.163,192110.381958244
"g791",55.21872,1.2755,21549.1787616517
"g792",0.67322,0,5.63456612605158
"g793",0,0,0
"g794",636.52398,485.885,360460.692320107
"g795",171.61812,83.107,33119.3382791645
"g796",227.90016,1.508,736456.993357708
"g797",0.5366,0,9.07577170405244
"g798",0,0,0
"g799",88.97178,1.9525,165744.578884995
"g800",157.01976,24.033,183931.247497694
"g801",0,0,0
"g802",2.72028,0,81.1906880100363
"g803",0.20606,0,1.61782913493048
"g804",382.43098,332.7955,85946.5111013369
"g805",0,0,0
"g806",328.5385,98.113,398474.702873328
"g807",0,0,0
"g808",5.63526,0,834.321544386535
"g809",1149.57724,1021.193,980211.059494478
"g810",5.18388,3.9885,83.4519558171848
"g811",80.65698,10.51,32250.9366371666
"g812",56.0111,9.537,9971.69992279952
"g813",238.37878,20.1075,269940.665281337
"g814",6.66084,0,2160.06062075111
"g815",0.01562,0,0.00551580637023821
"g816",0,0,0
"g817",29.94006,5.5855,7147.39790726306
"g818",3.70894,0,316.083834281112
"g819",1.15536,0,7.92743701080944
"g820",2450.56118,2001.753,3608976.65977276
"g821",10.23262,0,2866.19035280987
"g822",0,0,0
"g823",28.9057,0,12633.2760173919
"g824",26.03344,0,6039.17147363799
"g825",15.63874,0,3566.4064534795
"g826",94.87468,11.748,25377.2168125676
"g827",15.58754,0,2060.35314918048
"g828",20.3571,0,2946.18504621421
"g829",353.60592,226.944,268689.587400402
"g830",0,0,0
"g831",3.21994,1.785,45.8545539325803
"g832",0.1634,0,1.07004655447359
"g833",0,0,0
"g834",177.54728,8.36,365965.629723768
"g835",0,0,0
"g836",138.0027,26.021,56302.4707295935
"g837",10.2766,0,3714.23542121416
"g838",571.19334,268.409,1008057.46183094
"g839",1153.0241,880.044,1310367.2801785
"g840",91.65644,1.899,118191.095609546
"g841",70.5338,40.468,10163.1872293687
"g842",53.82446,0.3295,11335.9870956923
"g843",134.42572,0,608426.299159417
"g844",0.36288,0,2.06949721988795
"g845",4.0119,2.7745,18.2992021247384
"g846",38.30354,0,8563.3295770503
"g847",128.15028,3.268,70118.4403560686
"g848",0,0,0
"g849",380.6897,192.603,173969.363123951
"g850",4.4038,0,314.627628066738
"g851",95.08042,4.431,40552.9234826955
"g852",67.64084,26.2955,20685.1812969998
"g853",1.98316,0,116.071086920537
"g854",0.39384,0,1.28379428069254
"g855",0,0,0
"g856",26.21764,0,9770.40870998682
"g857",0,0,0
"g858",0.0415,0,0.0694326815600673
"g859",466.52936,264.371,414937.558287956
"g860",513.3255,411.385,193723.733422465
"g861",0,0,0
"g862",0,0,0
"g863",0,0,0
"g864",369.49232,173.4415,284470.990636593
"g865",49.67288,6.657,10161.3170216751
"g866",35.74006,0,9854.0794506002
"g867",819.75208,496.413,919917.233916839
"g868",144.59572,3.1045,172126.009933938
"g869",21.57032,3.8515,2484.9802179333
"g870",660.393,536.326,414091.642798111
"g871",0.93186,0,17.7107959408158
"g872",167.12132,34.328,76842.2330326565
"g873",78.05732,46.086,7301.41018630215
"g874",1.26296,0,17.1743635744812
"g875",30.49034,2.3445,3136.08283282921
"g876",1564.12184,1132.7605,1195218.87722074
"g877",62.39542,0,11638.4332017713
"g878",0,0,0
"g879",0,0,0
"g880",12.9451,0,937.163592740846
"g881",35.76758,11.0745,7598.32857446779
"g882",0.89618,0,3.17430730940919
"g883",0,0,0
"g884",155.03846,0,1038362.59597761
"g885",3.00242,1.9225,34.6149784670215
"g886",0,0,0
"g887",16.32746,0,960.569512932356
"g888",536.48286,388.0265,736331.829111006
"g889",0,0,0
"g890",22.46968,0,3298.6961921834
"g891",1.73064,0,59.0371465167066
"g892",2.01136,0,69.5428971588707
"g893",16.9066,0,6784.52882619133
"g894",7.39914,4.549,133.008418054463
"g895",0,0,0
"g896",0,0,0
"g897",618.7249,225.1315,2049089.01559283
"g898",324.8168,64.8595,252412.463418756
"g899",371.09996,216.3925,152426.905264867
"g900",13.8096,0,1488.39831039113
"g901",0,0,0
"g902",169.68666,29.822,113518.85297487
"g903",0,0,0
"g904",3.18814,0,37.8171705107276
"g905",151.99622,3.896,109624.903636525
"g906",777.9737,159.4045,1759074.60910646
"g907",57.11294,16.3395,12074.4328958145
"g908",878.24476,496.738,1454675.17362936
"g909",0.30114,0,3.28852013049985
"g910",30.12728,24.358,1220.78075508367
"g911",70.1959,0,162716.418900182
"g912",5.2667,1.619,85.1865670514887
"g913",0.01756,0,0.010014088935167
"g914",110.50494,7.0455,59428.8404047284
"g915",0.4258,0,2.75387947144051
"g916",87.03298,21.1295,29315.5870845172
"g917",0,0,0
"g918",308.97506,214.825,212470.222117275
"g919",98.36856,1.148,67023.5605557559
"g920",0,0,0
"g921",3.81846,0,607.166763061222
"g922",33.4292,3.8185,9557.03477598985
"g923",265.8094,53.6385,439282.233121728
"g924",0,0,0
"g925",0.35464,0,4.3613759090302
"g926",203.4048,64.9105,82371.7440868473
"g927",4.42688,0,299.249865529483
"g928",145.78672,6.239,50895.8258782888
"g929",194.83866,10.3215,126281.370420163
"g930",143.20008,1.932,138748.982103687
"g931",181.11736,35.3215,108713.564145211
"g932",2.21166,0,181.551047689199
"g933",0,0,0
"g934",0.2654,0,0.34580349967785
"g935",191.45418,53.296,98999.4545642692
"g936",0,0,0
"g937",8.36448,5.394,78.5225536213242
"g938",0,0,0
"g939",0.9559,0,28.6452639598962
"g940",0.01186,0,0.00602485044676244
"g941",72.54368,6.9635,15226.4997053168
"g942",0,0,0
"g943",361.72414,222.718,116318.611336882
"g944",148.11262,1.5,398088.33613027
"g945",0,0,0
"g946",57.7941,10.929,9409.07073843835
"g947",16.14406,0,3974.54530508117
"g948",0,0,0
"g949",25.64016,0.7835,10006.2677570734
"g950",81.68362,5.1445,224349.325242424
"g951",4.3879,0,301.071556352497
"g952",582.16932,252.5035,2774191.37553119
"g953",0.09332,0,0.228358648578617
"g954",0.12638,0,0.307819509747761
"g955",0,0,0
"g956",175.73592,36.178,66359.5775504485
"g957",30.83592,0,6422.96733451099
"g958",86.39738,16.5855,29067.671390856
"g959",72.5406,4.1945,16252.8916568693
"g960",96.33852,1.776,50563.6180037944
"g961",134.89274,25.483,63871.1019009116
"g962",2676.19882,2685.732,2767306.19220939
"g963",138.81084,3.3265,68880.6526893333
"g964",0,0,0
"g965",123.78,0,416783.9009857
"g966",17.93398,1.862,26414.759644397
"g967",90.84706,0,98488.0483296423
"g968",475.70724,81.531,1018683.06685803
"g969",97.95054,2.628,26436.7795448167
"g970",467.94322,71.8825,1620470.33694875
"g971",34.54108,0,17008.2843373468
"g972",14.5116,0,3030.10102269204
"g973",6557.15194,6682.324,4968144.78080889
"g974",692.6394,481.592,486086.576175582
"g975",2.2322,0,180.688211928459
"g976",937.5488,672.287,905002.229774209
"g977",50.3596,0,18374.6040507903
"g978",0,0,0
"g979",394.90314,256.388,292507.843089136
"g980",200.10994,17.538,111162.681385197
"g981",207.82538,30.819,115007.939994812
"g982",0,0,0
"g983",0,0,0
"g984",0,0,0
"g985",0,0,0
"g986",59.7242,3.6415,55683.857220258
"g987",0,0,0
"g988",0.0361,0,0.0390728058455307
"g989",39.31624,0,54981.1283343833
"g990",294.37132,78.192,364727.107488914
"g991",0,0,0
"g992",0,0,0
"g993",1.29444,0,53.5947348511139
"g994",0,0,0
"g995",433.39404,87.375,473315.815758301
"g996",138.60296,2.7635,116248.014952346
"g997",0,0,0
"g998",4.17344,0,347.631481192409
"g999",944.4498,179.3225,8968855.85744679
"g1000",0,0,0
